round,status,p_bar_raw,sigma_raw,p_bar_filtered,sigma_filtered,rel_dispersion,num_reveals,num_outliers,outliers,verified_ops,all_verified_ops,y_actual,p_true,weights_after,p_op_0,p_op_1,p_op_2,p_op_3,p_op_4,p_op_5
0,rejected,0.00206549702816908,0.0008988516339347993,0.00206549702816908,0.0008988516339347993,0.43517428807790665,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0016455708094879117,"{0: 0.166667, 1: 0.166666, 2: 0.166666, 3: 0.166667, 4: 0.166667, 5: 0.166667}",0.002477698760608182,0.002950325893707447,0.002658539378499411,0.0021133893345830594,0.00018466857971384575,0.002008360221902533
1,rejected,0.003937965020040017,0.0008425386929716966,0.003937965020040017,0.0008425386929716966,0.21395275852663015,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00309824408577075,"{0: 0.166665, 1: 0.166665, 2: 0.166667, 3: 0.166668, 4: 0.166668, 5: 0.166667}",0.005079041816211584,0.004973884521406807,0.0031555361150036195,0.002867705766632446,0.003583705695071334,0.0039679202803110545
2,rejected,0.000678883047650957,0.00042715645911667067,0.000678883047650957,0.00042715645911667067,0.6292038538756325,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0001247906227367439,"{0: 0.166665, 1: 0.166665, 2: 0.166667, 3: 0.166668, 4: 0.166668, 5: 0.166667}",0.0005379760262122723,0.0014238202818996114,0.0010760833463479686,0.00021747741711614945,0.00045156719352948036,0.0003663825697937146
3,rejected,0.0026929128263035464,0.0012284741968073072,0.0026929128263035464,0.0012284741968073072,0.4561877119156033,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0014460106880915472,"{0: 0.166665, 1: 0.166664, 2: 0.166667, 3: 0.166668, 4: 0.166668, 5: 0.166668}",0.003310478167962568,0.0044349695670352265,0.0037194718944244124,0.002133741239848411,0.0016511486537054716,0.0009076982783696498
4,rejected,0.00038519579838139736,0.00048681884241741884,0.00038519579838139736,0.00048681884241741884,1.2638185064440794,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00046036785977832725,"{0: 0.166665, 1: 0.166664, 2: 0.166667, 3: 0.166668, 4: 0.166668, 5: 0.166668}",0.001381716624929445,0.0002461654637724007,0.0,0.00010816192236074346,0.0,0.0005751420452970561
5,accepted,0.016400569356569295,0.0008648708611755049,0.016400569356569295,0.0008648708611755049,0.05273419413911288,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.016032546518663055,"{0: 0.166662, 1: 0.166662, 2: 0.166673, 3: 0.166665, 4: 0.16667, 5: 0.166668}",0.017126997157955407,0.01688405577611922,0.01468827013572424,0.01723249494644829,0.01608057451678746,0.016391033235943753
6,rejected,0.0012975948156737503,0.0010833685910073612,0.0012975948156737503,0.0010833685910073612,0.834904504100026,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.000474723505782263,"{0: 0.166662, 1: 0.166662, 2: 0.166673, 3: 0.166665, 4: 0.166669, 5: 0.166668}",0.002706585726080634,0.0,0.00025708493176466703,0.0008557373382005549,0.002743166152046964,0.0012230043272502536
7,rejected,0.001702710250224103,0.0018656333823165935,0.001702710250224103,0.0018656333823165935,1.0956839464536619,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0009875047970231976,"{0: 0.166662, 1: 0.166663, 2: 0.16667, 3: 0.166666, 4: 0.16667, 5: 0.166669}",0.0019978165877467457,0.0019716965997902975,0.005456643628503116,0.0,0.0,0.0007899939113939844
8,rejected,0.0012696124602722533,0.0016031324731134444,0.0012696124602722533,0.0016031324731134444,1.2626933498087458,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.000284747382797637,"{0: 0.166662, 1: 0.166663, 2: 0.166671, 3: 0.166667, 4: 0.166668, 5: 0.166669}",0.002095595984128864,0.000355616919281737,0.0,0.00020910922225636866,0.004508708168805491,0.0004486174308897092
9,rejected,0.0010815729776173161,0.0009235612714658874,0.0010815729776173161,0.0009235612714658874,0.853904855866145,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0006742853102553714,"{0: 0.166662, 1: 0.166663, 2: 0.166671, 3: 0.166667, 4: 0.166668, 5: 0.166669}",0.0017667999754458004,0.0023420138280494766,0.0,0.0,0.001780387414098705,0.0006003110349902231
10,rejected,0.001600461005763192,0.0014860488148347112,0.001600461005763192,0.0014860488148347112,0.928512397972283,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0006742853102553714,"{0: 0.166662, 1: 0.166663, 2: 0.166669, 3: 0.166667, 4: 0.166668, 5: 0.16667}",0.0006031611807604,0.0026192383475403106,0.004418763968656847,5.475272460883597e-05,0.0007986058178064635,0.0011081786386014163
11,rejected,0.005497753069793529,0.001056101078783103,0.005497753069793529,0.001056101078783103,0.192096820879215,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.005155632419791904,"{0: 0.166662, 1: 0.166663, 2: 0.166671, 3: 0.166667, 4: 0.166666, 5: 0.166671}",0.006100750692962987,0.005284493096515336,0.003845812892605664,0.005914044657551172,0.007150139587986935,0.004691311651001874
12,rejected,0.0018340246525958693,0.000933065872732715,0.0018340246525958693,0.000933065872732715,0.5087529017994155,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.002116953187835378,"{0: 0.166661, 1: 0.166662, 2: 0.166672, 3: 0.166667, 4: 0.166666, 5: 0.166671}",0.003378926756376225,0.0028758399347264024,0.0012647668227405108,0.0013579772803533733,0.0009822807598732495,0.0011444575243039145
13,rejected,0.0007711424789312837,0.0008662193856536617,0.0007711424789312837,0.0008662193856536617,1.123292110119562,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00040448032791241817,"{0: 0.16666, 1: 0.166662, 2: 0.166672, 3: 0.166667, 4: 0.166667, 5: 0.166671}",0.00224156592073433,0.0015093550417756472,0.0,0.0,0.0,0.0008760258141076417
14,rejected,0.00053590882609099,0.0006079827497455346,0.00053590882609099,0.0006079827497455346,1.1344870352168308,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00022125217022243097,"{0: 0.16666, 1: 0.166662, 2: 0.166672, 3: 0.166667, 4: 0.166667, 5: 0.166671}",0.0015049438484917932,0.0011818337276907993,0.0,0.0,0.0,0.0005287474378854564
15,rejected,0.0020961461869566846,0.0008356063665092163,0.0020961461869566846,0.0008356063665092163,0.3986391660417707,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.001749666372738421,"{0: 0.16666, 1: 0.166662, 2: 0.166671, 3: 0.166668, 4: 0.166667, 5: 0.166672}",0.002488189175377092,0.002202991741720509,0.003482682981664242,0.000704138066248671,0.0017039282367571522,0.0019949306480185097
16,rejected,0.0005667606274214979,0.0005470895922007036,0.0005667606274214979,0.0005470895922007036,0.9652904602764076,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0005571585098213948,"{0: 0.16666, 1: 0.166662, 2: 0.166671, 3: 0.166668, 4: 0.166667, 5: 0.166671}",0.0011076070144884049,0.00029566711492412046,0.0,0.0002264478731829917,0.0002570559232186857,0.001513790629880776
17,rejected,0.004003333635956864,0.0014096448838120227,0.004003333635956864,0.0014096448838120227,0.3521176748880734,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00309824408577075,"{0: 0.16666, 1: 0.166662, 2: 0.166671, 3: 0.16667, 4: 0.166664, 5: 0.166672}",0.004760031089754148,0.00415831746892238,0.004073134238564539,0.001851925529629067,0.00632154530758065,0.0028551252410697137
18,rejected,0.005535338321054894,0.001794565812423632,0.005535338321054894,0.001794565812423632,0.3242015906048617,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.005864141128238232,"{0: 0.166658, 1: 0.166658, 2: 0.166673, 3: 0.166671, 4: 0.166668, 5: 0.166672}",0.006778825270099324,0.008282945016828854,0.0044018171961838146,0.004818763939766478,0.0027131164209891006,0.00621666972312593
19,rejected,0.0007643794079079969,0.000996375126407767,0.0007643794079079969,0.000996375126407767,1.3035068875387679,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0006953069015689,"{0: 0.166658, 1: 0.166658, 2: 0.166673, 3: 0.166671, 4: 0.166668, 5: 0.166672}",0.0018240235407120389,0.0024582746763613496,0.0,0.0,0.0,0.00030418478025839385
20,rejected,0.008853822048189613,0.0014023730117341472,0.008853822048189613,0.0014023730117341472,0.15839180477193948,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.009105456516274832,"{0: 0.166654, 1: 0.166656, 2: 0.166678, 3: 0.166672, 4: 0.166668, 5: 0.166672}",0.010755618717242912,0.009855036665011342,0.006186535778619129,0.008599026094086628,0.008840283104386924,0.008886695711548646
21,rejected,0.0029723237528296123,0.003676628323817091,0.0029723237528296123,0.003676628323817091,1.236953775093718,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0002677830941224326,"{0: 0.166656, 1: 0.166658, 2: 0.166679, 3: 0.166675, 4: 0.166671, 5: 0.166662}",0.0017571147826171511,0.0009161170682541997,0.0040872073153207,0.0,0.00042913717366246246,0.01064391934514544
22,rejected,0.0011148177367061726,0.0008006142337952454,0.0011148177367061726,0.0008006142337952454,0.718156420801402,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.0009875047970231976,"{0: 0.166656, 1: 0.166658, 2: 0.166679, 3: 0.166675, 4: 0.166671, 5: 0.166662}",0.0015075659552979744,0.0020382783128712703,0.001815049989764598,0.001255317631039265,7.269892002356368e-05,0.0
23,rejected,0.0011225513270719685,0.0008560578266464673,0.0011225513270719685,0.0008560578266464673,0.7625994851210034,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00038038546837165294,"{0: 0.166656, 1: 0.166658, 2: 0.166679, 3: 0.166675, 4: 0.166671, 5: 0.166662}",0.0019107538491574608,0.0025076866115478786,0.0012187119184958886,0.00012915884321790033,0.0003310506168920366,0.0006381135939478443
24,accepted,0.011425551864953682,0.0011392609270202375,0.011425551864953682,0.0011392609270202375,0.09971166739027258,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.010670605210787224,"{0: 0.166655, 1: 0.166659, 2: 0.166681, 3: 0.166677, 4: 0.166664, 5: 0.166664}",0.011680940436418387,0.010830986419625209,0.010659871663021446,0.010823294928423398,0.013854301675953614,0.010703901463675291
25,rejected,0.0009950318223319852,0.0010392415044632353,0.0009950318223319852,0.0010392415044632353,1.0444293707092411,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,6.18343692213858e-05,"{0: 0.166655, 1: 0.166659, 2: 0.166681, 3: 0.166677, 4: 0.166664, 5: 0.166664}",0.001448846962978741,0.002484448407016323,0.0020369314254815095,0.0,0.0,0.0
26,rejected,0.0002705281010509943,0.0004303649087560792,0.0002705281010509943,0.0004303649087560792,1.5908266692349526,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,4.2209168827112475e-05,"{0: 0.166655, 1: 0.166659, 2: 0.166681, 3: 0.166677, 4: 0.166664, 5: 0.166664}",0.0011983672353905726,0.0003223267981858378,0.0,0.0,0.0,0.00010257324921740196
27,accepted,0.017465855317486987,0.036962198130639556,0.017465855317486987,0.036962198130639556,2.116254563117678,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00018850718655749417,"{0: 0.166849, 1: 0.166853, 2: 0.166875, 3: 0.166871, 4: 0.166859, 5: 0.165693}",0.0018123825329155888,0.0022065854069571924,0.0,0.0006823829621419021,0.0,0.10009536376116342
28,accepted,0.018809481442875073,0.0006933370535212515,0.018809481442875073,0.0006933370535212515,0.03686103834206686,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.018208448395343142,"{0: 0.16685, 1: 0.166847, 2: 0.166877, 3: 0.166873, 4: 0.166858, 5: 0.165696}",0.018711055497014017,0.02020122725152796,0.018330062465954488,0.018505589381598936,0.019043557695391847,0.018060274497949023
29,rejected,0.001143806064353113,0.0006918460761567719,0.001143806064353113,0.0006918460761567719,0.6048625661776706,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.00022815317623072393,"{0: 0.166849, 1: 0.166847, 2: 0.166877, 3: 0.166873, 4: 0.166858, 5: 0.165696}",0.0022878595957506118,0.0013090199133564788,0.001116798396779785,0.0007375608756329054,0.0014037391270033531,0.0
30,accepted,0.013130925937302026,0.000442197330152784,0.013130925937302026,0.000442197330152784,0.03367601786714693,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,0.012501395114027668,"{0: 0.166848, 1: 0.166845, 2: 0.166879, 3: 0.166874, 4: 0.166858, 5: 0.165696}",0.01363842490260167,0.013779479667210832,0.012680461096739381,0.012608568491336264,0.01301552759195217,0.013062788787521198
31,rejected,0.0009676063155425499,0.0007625770615487112,0.0009676063155425499,0.0007625770615487112,0.7881059281999376,6,0,[],"[0, 1, 2, 3, 4, 5]","[0, 1, 2, 3, 4, 5]",0,4.093222730587816e-05,"{0: 0.166848, 1: 0.166844, 2: 0.166879, 3: 0.166874, 4: 0.166858, 5: 0.165697}",0.0014140347840565807,0.002056324782967918,0.0008839298738393984,0.0014446924349998263,0.0,0.0
